SITE,NAME,STATION,BASIN,latitude,longitude,IBI_Class,Sqrt_Cluster,PrAb_Cluster,Category,Date,depth,width,temp,conduct,ph,DO,PCT_FOREST,DA(mi2),Canopy,pct_Water,pct_Developed,pct_Barren,pct_Forested,pct_Shrubland,pct_Cultivated,pct_Wetland,pct_Grassland,Orig_IBIClassdrainage
NEVR_2,"Neversink R (4) mid, blw Woodbourne, bridge by prison, at T51, side channel",3,Delaware,41.76,-74.59917,Headwater,3,2,REF,2005,0.2,40,11,19,7.1,10.2,93,112.9,10,0,97,0,3,0,0,0,0,North/East
BSHR,"Basher Kill, GALLEY HILL RD, AT T1",1,Delaware,41.45361,-74.58945,Headwater,4,2,REF,2005,0.2,15,18,107,6.3,10.6,90,72.2,25,0,54,0,46,0,0,0,0,North/East
EDEL,"East Branch Delaware mid, Arkville b/w Bushkill",03A,Delaware,42.16111,-74.62083,Headwater,3,2,REF,2005,0.1,5,16,129,7.2,7.3,87,75.6,25,0,14,0,41,0,43,3,0,North/East
DEER_A,Deer R. .2 blw T28,A,Black,43.723389,-75.701389,Headwater,2,2,REF,9/22/2000,0.2,8,14,87,7.5,15.6,87,2.7,82,0,0,0,14,0,0,86,0,Great Lakes
GIPS,Gipsy Trail,1,Lower Hudson,41.43222,-73.69945,Headwater,4,2,REF,1995-2000,0.2,4,23,120,6.4,8.1,86,3.6,20,0,24,0,76,0,0,0,0,North/East
WBCR,W. Br Croton R.,1,Lower Hudson,41.4115,-73.6925,Headwater,4,2,REF,8/19/1996,0.3,15,25,97,6.8,8.4,82,40.1,90,0,64,0,33,0,3,0,0,North/East
LSAN_3,LSAN- 3,1,Ontario,43.64639,-76.06416,Headwater,3,2,REF,1995-2000,0.2,10,23,158,8.1,11,58,1.9,10,0,46,0,0,17,26,0,11,Great Lakes
WILL,"Willowemoc R, mouth; Willowemoc R, mouth, Roscoe, PFR path, along Rte 179",8,Delaware,41.93028,-74.91528,Mid-Order,2,1,REF,NA,0.3,10,17,99,7.2,6.5,93,126.8,10,0,86,0,0,0,0,14,0,North/East
MEAD,"Meads Ck, Rte 415",1,Chemung,42.19468,-77.14198,Mid-Order,2,1,REF,9/12/2002,0.1,5,22,99,8.3,12.8,87,68.1,10,0,0,0,83,0,0,17,0,Chesapeake
LDEL,"Little Delaware R. Delhi, at mouth",01A,Delaware,42.2578,-74.9275,Mid-Order,3,1,REF,2005,0.1,15,15,112,7.5,15,81,52.1,NA,0,71,0,0,0,29,0,0,North/East
WDEL_1,"W. Br. Delaware R. (2), Delhi, Sherwood Rd to golf course",03A,Delaware,42.25972,-74.92861,Mid-Order,2,1,REF,2005,0.3,20,3,112,7.6,13.7,81,52.1,0,0,22,0,22,0,24,32,0,North/East
WDHL_2,Woodhull Ck,1,Black,43.46333,-75.1725,Mid-Order,3,1,REF,9/21/2001,0.2,10,16,50,7.2,9.3,79,68.9,10,0,0,0,57,14,0,29,0,Great Lakes
NVUS,"Schenevus Creek, Colliersville, Rte 28",3,Susquehanna,42.48556,-74.96944,Mid-Order,2,1,REF,6/9/2004,0.2,10,15,144,7.4,11.7,76,118,0,0,15,0,15,0,47,24,0,Chesapeake
SNAK,"Snake Creek, Corbetsville; above route 7A",1,Susquehanna,42.015,-75.7887,Mid-Order,2,1,REF,9/7/2004,0.1,15,27,123,8.4,8.8,76,74.9,0,0,41,0,0,24,24,11,0,Chesapeake
SHEL,"Sheldrake Str (2), abv Kiamesha Ck",1,Delaware,41.67083,-74.62611,Mid-Order,3,2,REF,2005,0.2,6,23,144,7,7.7,75,14.6,80,0,44,0,53,0,0,0,3,North/East
CALL,"Callicoon Ck (4), mouth, at Callicoon",6,Delaware,41.76444,-75.05556,Mid-Order,2,1,REF,2005,0.1,20,16,155,7.2,9.1,73,111.3,10,0,86,0,14,0,0,0,0,North/East
DELA_1,"Deleware River (4),Callicoon, abv brdg to PA",7,Delaware,41.7652,-75.06036,Mid-Order,2,1,REF,2005,0.5,60,16,100,7.1,9.6,73,112,10,17,28,0,19,0,22,14,0,North/East
NANG,"Chenango River, blw Hart Road CO Rt 106 up to (Eagleville Brook) Morrisville",0,Susquehanna,42.88417,-75.63889,Mid-Order,2,1,REF,6/9/2004,0.3,5,15,624,8.4,12,49,12.4,0,0,0,0,6,0,14,80,0,Chesapeake
